Rank,Name,Section/Region,County,Height,"Prom.
(m)","Height
(ft)","Prom.
(ft)",Topo Map,"OS Grid
Reference","Classification
(§ DoBIH codes)"
1,Beinn a' Chlaidheimh,14A: Loch Maree to Loch Broom,Highland,913.96,268,"2,999",879,19,NH061775,"Ma,C,Sim,xMT"
2,Beinn Dearg,13A: Loch Torridon to Loch Maree,Highland,913.7,469,"2,998","1,539",19 24,NG895608,"Ma,C,Sim"
3,Sgùrr nan Ceannaichean,12A: Kyle of Lochalsh to Garve,Highland,913.43,185,"2,997",607,25,NH087480,"Ma,C,Sim,xMT"
4,Sgùrr a' Choire-bheithe,10B: Knoydart to Glen Kingie,Highland,913.32,390,"2,996","1,280",33,NG895015,"Ma,C,Sim"
5,Beinn Bhreac,06A: Glen Tromie to Glen Tilt,Perth and Kinross,912.44,171,"2,994",561,43,NN868820,"Ma,C,Sim"
6,Leathad an Taobhain,06A: Glen Tromie to Glen Tilt,Highland/Perth and Kinross,911.7,155,"2,991",509,43,NN821858,"Ma,C,Sim"
7,The Fara,04B: Loch Treig to Loch Ericht,Highland,911.4,475,"2,990","1,558",42,NN598842,"Ma,C,Sim"
8,Foinaven,16B: Durness to Loch Shin,Highland,911.05,688,"2,989","2,257",9,NC315506,"Ma,C,Sim"
9,Beinn nan Oighreag,02B: Glen Lyon to Glen Dochart & Loch Tay,Perth and Kinross/Stirling,909.6,272,"2,984",892,51,NN541412,"Ma,C,Sim"
10,Streap,10D: Mallaig to Fort William,Highland,909,438,"2,982","1,437",40,NM946863,"Ma,C,Sim"
11,Meall Buidhe,02A: Loch Rannoch to Glen Lyon,Argyll and Bute/Perth and Kinross,908.2,259,"2,980",850,51,NN426449,"Ma,C,Sim"
12,Fuar Tholl,13B: Applecross to Achnasheen,Highland,907,242,"2,976",794,25,NG975489,"Ma,C,Sim"
13,Leum Uilleim,04A: Fort William to Loch Treig & Loch Leven,Highland,906.5,496,"2,974","1,627",41,NN330641,"Ma,C,Sim"
14,Beinn Maol Chaluim,03B: Loch Linnhe to Loch Etive,Highland,906.3,197,"2,973",650,41,NN134525,"Ma,C,Sim"
15,Beinn Dearg Mòr,14A: Loch Maree to Loch Broom,Highland,906.28,564,"2,973","1,850",19,NH032799,"Ma,C,Sim"
16,Ben Tee,10C: Loch Arkaig to Glen Moriston,Highland,904,356,"2,966","1,168",34,NN240972,"Ma,C,Sim"
17,Beinn Damh,13B: Applecross to Achnasheen,Highland,903,518,"2,963","1,699",24,NG892502,"Ma,C,Sim"
18,Ben Vuirich,06B: Pitlochry to Braemar & Blairgowrie,Perth and Kinross,903,345,"2,963","1,132",43,NN997700,"Ma,C,Sim"
19,Beinn an Lochain,19C: Loch Fyne to Bute and the Firth of Clyde,Argyll and Bute,901.7,640,"2,958","2,100",56,NN218078,"Ma,C,Sim,xMT"
20,Sgùrr an Fhuarain,10B: Knoydart to Glen Kingie,Highland,901,183,"2,956",600,33 40,NM987979,"Ma,C,Sim"
21,Beinn Mheadhonach,06A: Glen Tromie to Glen Tilt,Perth and Kinross,900.9,164.7,"2,956",540,43,NN880759,"Ma,C,Sim"
22,Beinn Odhar,02B: Glen Lyon to Glen Dochart & Loch Tay,Argyll and Bute/Stirling,900.8,457,"2,955","1,499",50,NN337338,"Ma,C,Sim"
23,Culardoch,08B: Cairngorms,Aberdeenshire,900,312,"2,953","1,024",36 43,NO193988,"Ma,C,Sim"
24,Aonach Buidhe,12B: Killilan to Inverness,Highland,899,474,"2,949","1,555",25,NH057324,"Ma,C,Sim"
25,Sgùrr nan Eugallt,10B: Knoydart to Glen Kingie,Highland,897.5,612,"2,945","2,008",33,NG927048,"Ma,C,Sim"
26,Beinn a' Bhuiridh,03C: Glen Etive to Glen Lochy,Argyll and Bute,897,169,"2,943",554,50,NN094283,"Ma,C,Sim"
27,Beinn Bhàn,13B: Applecross to Achnasheen,Highland,896,851,"2,940","2,792",24,NG803450,"Ma,C,Sim"
28,Ben Tirran,07B: Braemar to Montrose,Angus,896,244,"2,940",801,44,NO373746,"Ma,C,Sim"
29,Ruadh-stac Beag,13A: Loch Torridon to Loch Maree,Highland,896,181,"2,940",594,19,NG972613,"Ma,C,Sim"
30,Gairbeinn,09B: Glen Albyn and the Monadh Liath,Highland,895.5,211,"2,938",692,34,NN460985,"Ma,C,Sim"
31,Creag Mhòr,08B: Cairngorms,Moray,895,167,"2,936",548,36,NJ057047,"Ma,C,Sim"
32,Beinn a' Chuallaich,05A: Loch Ericht to Glen Tromie & Glen Garry,Perth and Kinross,892,527,"2,927","1,729",42,NN684617,"Ma,C,Sim"
33,An Ruadh-stac,13B: Applecross to Achnasheen,Highland,890.4,327,"2,921","1,079",25,NG921480,"Ma,C,Sim"
